Model,MSO2024B
Firmware Version,1.56

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,0.02,
Sample Interval,1.6e-06,
Filter Frequency,2e+08,
Record Length,125000,
Gating,0.0% to 100.0%,
Probe Attenuation,10,
Vertical Units,V,
Vertical Offset,0,
Vertical Scale,1,
Label,,
TIME,CH1,CH1 Peak Detect
-9.98048e-02,-0.58,0.94
-9.98032e-02,0.54,-1.06
-9.98016e-02,0.86,0.98
-9.98000e-02,-0.0999999,-1.06
-9.97984e-02,-0.82,0.98
-9.97968e-02,-0.58,-1.06
-9.97952e-02,0.54,0.98
-9.97936e-02,0.9,-1.06
-9.97920e-02,-0.14,0.98
-9.97904e-02,-0.82,-1.02
-9.97888e-02,-0.58,0.98
-9.97872e-02,0.5,-1.06
-9.97856e-02,0.9,0.98
-9.97840e-02,-0.14,-1.06
-9.97824e-02,-0.78,0.98
-9.97808e-02,-0.62,-1.02
-9.97792e-02,0.5,0.98
-9.97776e-02,0.86,-1.02
-9.97760e-02,-0.0999999,0.98
-9.97744e-02,-0.82,-1.02
-9.97728e-02,-0.58,0.98
-9.97712e-02,0.54,-1.02
-9.97696e-02,0.86,0.98
-9.97680e-02,-0.0999999,-1.02
-9.97664e-02,-0.78,0.98
-9.97648e-02,-0.58,-1.02
-9.97632e-02,0.5,0.98
-9.97616e-02,0.86,-1.02
-9.97600e-02,-0.0999999,0.98
-9.97584e-02,-0.78,-1.06
-9.97568e-02,-0.58,0.98
-9.97552e-02,0.5,-1.02
-9.97536e-02,0.86,0.98
-9.97520e-02,-0.14,-1.02
-9.97504e-02,-0.82,0.98
-9.97488e-02,-0.62,-1.02
-9.97472e-02,0.5,0.98
-9.97456e-02,0.86,-1.02
-9.97440e-02,-0.0999999,0.98
-9.97424e-02,-0.78,-1.02
-9.97408e-02,-0.62,0.98
-9.97392e-02,0.5,-1.02
-9.97376e-02,0.86,0.98
-9.97360e-02,-0.0999999,-1.02
-9.97344e-02,-0.82,0.98
-9.97328e-02,-0.62,-1.02
-9.97312e-02,0.46,0.94
-9.97296e-02,0.82,-1.02
-9.97280e-02,-0.0999999,0.98
-9.97264e-02,-0.82,-1.02
-9.97248e-02,-0.62,0.98
