timestamp,TimeUS,Ground_Truth,TimeUS,Ground_Truth
136.34439900,136344399,100,136344399,100
136.34512000,136345120,100,136345120,100
136.34588000,136345880,100,136345880,100
136.34662900,136346629,100,136346629,100
136.34737700,136347377,100,136347377,100
136.34817900,136348179,100,136348179,100
136.34888000,136348880,100,136348880,100
136.34962900,136349629,100,136349629,100
136.35037000,136350370,100,136350370,100
136.35112700,136351127,100,136351127,100
136.35187400,136351874,100,136351874,100
136.35262800,136352628,100,136352628,100
136.35338100,136353381,100,136353381,100
136.35413100,136354131,100,136354131,100
136.35488000,136354880,100,136354880,100
136.35568800,136355688,100,136355688,100
136.35638700,136356387,100,136356387,100
136.35713700,136357137,100,136357137,100
136.35788800,136357888,100,136357888,100
136.35865900,136358659,100,136358659,100
136.35940000,136359400,100,136359400,100
136.36015300,136360153,100,136360153,100
136.36091500,136360915,100,136360915,100
136.36167200,136361672,100,136361672,100
136.36241500,136362415,100,136362415,100
136.36319100,136363191,100,136363191,100
136.36394000,136363940,100,136363940,100
136.36469100,136364691,100,136364691,100
136.36544000,136365440,100,136365440,100
136.36619200,136366192,100,136366192,100
136.36693900,136366939,100,136366939,100
136.36769500,136367695,100,136367695,100
136.36845500,136368455,100,136368455,100
136.36920900,136369209,100,136369209,100
136.36995600,136369956,100,136369956,100
136.37070600,136370706,100,136370706,100
136.37145800,136371458,100,136371458,100
136.37220800,136372208,100,136372208,100
136.37295700,136372957,100,136372957,100
136.37371100,136373711,100,136373711,100
136.37445900,136374459,100,136374459,100
136.37521200,136375212,100,136375212,100
136.37597000,136375970,100,136375970,100
136.37672100,136376721,100,136376721,100
136.37746700,136377467,100,136377467,100
136.37828000,136378280,100,136378280,100
136.37902400,136379024,100,136379024,100
136.37977600,136379776,100,136379776,100
136.38052400,136380524,100,136380524,100
136.38127900,136381279,100,136381279,100
136.38202900,136382029,100,136382029,100
136.38277600,136382776,100,136382776,100
136.38353600,136383536,100,136383536,100
136.38428700,136384287,100,136384287,100
136.38503100,136385031,100,136385031,100
136.38582200,136385822,100,136385822,100
136.38656700,136386567,100,136386567,100
136.38731600,136387316,100,136387316,100
136.38806100,136388061,100,136388061,100
136.38881300,136388813,100,136388813,100
136.38957000,136389570,100,136389570,100
136.39031500,136390315,100,136390315,100
136.39107500,136391075,100,136391075,100
136.39182200,136391822,100,136391822,100
136.39257000,136392570,100,136392570,100
136.39333900,136393339,100,136393339,100
136.39408100,136394081,100,136394081,100
136.39483200,136394832,100,136394832,100
136.39557700,136395577,100,136395577,100
136.39639000,136396390,100,136396390,100
136.39714200,136397142,100,136397142,100
136.39789600,136397896,100,136397896,100
136.39888000,136398880,100,136398880,100
136.39940400,136399404,100,136399404,100
136.40015700,136400157,100,136400157,100
136.40091000,136400910,100,136400910,100
136.40166300,136401663,100,136401663,100
136.40240900,136402409,100,136402409,100
136.40320300,136403203,100,136403203,100
136.40394700,136403947,100,136403947,100
136.40469800,136404698,100,136404698,100
136.40544900,136405449,100,136405449,100
136.40620400,136406204,100,136406204,100
136.40695500,136406955,100,136406955,100
136.40770500,136407705,100,136407705,100
136.40866800,136408668,100,136408668,100
136.40921000,136409210,100,136409210,100
136.40996200,136409962,100,136409962,100
136.41077900,136410779,100,136410779,100
136.41152500,136411525,100,136411525,100
136.41227200,136412272,100,136412272,100
136.41302000,136413020,100,136413020,100
136.41377700,136413777,100,136413777,100
136.41452100,136414521,100,136414521,100
136.41527300,136415273,100,136415273,100
136.41602700,136416027,100,136416027,100
136.41678500,136416785,100,136416785,100
136.41752800,136417528,100,136417528,100
136.41832500,136418325,100,136418325,100
136.41907600,136419076,100,136419076,100
136.41983600,136419836,100,136419836,100
136.42058000,136420580,100,136420580,100
136.42134000,136421340,100,136421340,100
136.42208400,136422084,100,136422084,100
136.42283500,136422835,100,136422835,100
136.42359300,136423593,100,136423593,100
136.42434400,136424344,100,136424344,100
136.42509100,136425091,100,136425091,100
136.42585100,136425851,100,136425851,100
136.42660100,136426601,100,136426601,100
136.42734700,136427347,100,136427347,100
136.42815700,136428157,100,136428157,100
136.42885200,136428852,100,136428852,100
136.42960200,136429602,100,136429602,100
136.43035000,136430350,100,136430350,100
136.43111200,136431112,100,136431112,100
136.43185700,136431857,100,136431857,100
136.43260800,136432608,100,136432608,100
136.43336500,136433365,100,136433365,100
136.43411900,136434119,100,136434119,100
136.43486300,136434863,100,136434863,100
136.43567000,136435670,100,136435670,100
136.43637300,136436373,100,136436373,100
136.43711900,136437119,100,136437119,100
136.43787200,136437872,100,136437872,100
136.43883800,136438838,100,136438838,100
136.43937700,136439377,100,136439377,100
136.44012600,136440126,100,136440126,100
136.44088500,136440885,100,136440885,100
136.44163400,136441634,100,136441634,100
136.44238100,136442381,100,136442381,100
136.44319400,136443194,100,136443194,100
136.44388700,136443887,100,136443887,100
136.44463400,136444634,100,136444634,100
136.44538700,136445387,100,136445387,100
136.44614400,136446144,100,136446144,100
136.44689600,136446896,100,136446896,100
136.44764500,136447645,100,136447645,100
136.44841000,136448410,100,136448410,100
136.44915100,136449151,100,136449151,100
136.44990200,136449902,100,136449902,100
136.45069600,136450696,100,136450696,100
136.45145300,136451453,100,136451453,100
136.45221000,136452210,100,136452210,100
136.45295300,136452953,100,136452953,100
136.45371200,136453712,100,136453712,100
136.45445900,136454459,100,136454459,100
136.45520900,136455209,100,136455209,100
136.45596500,136455965,100,136455965,100
136.45671400,136456714,100,136456714,100
