timestamp,TimeUS,Ground_Truth,TimeUS,Ground_Truth
153.10708400,153107084,6,153107084,6
153.10758600,153107586,6,153107586,6
153.10807200,153108072,6,153108072,6
153.10857200,153108572,6,153108572,6
153.10907100,153109071,6,153109071,6
153.10957100,153109571,6,153109571,6
153.11008200,153110082,6,153110082,6
153.11057200,153110572,6,153110572,6
153.11107200,153111072,6,153111072,6
153.11157200,153111572,6,153111572,6
153.11207100,153112071,6,153112071,6
153.11259200,153112592,6,153112592,6
153.11307300,153113073,6,153113073,6
153.11357200,153113572,6,153113572,6
153.11407200,153114072,6,153114072,6
153.11457200,153114572,6,153114572,6
153.11508100,153115081,6,153115081,6
153.11557300,153115573,6,153115573,6
153.11607200,153116072,6,153116072,6
153.11657200,153116572,6,153116572,6
153.11707100,153117071,6,153117071,6
153.11758400,153117584,6,153117584,6
153.11807300,153118073,6,153118073,6
153.11857100,153118571,6,153118571,6
153.11907300,153119073,6,153119073,6
153.11957200,153119572,6,153119572,6
153.12008900,153120089,6,153120089,6
153.12057200,153120572,6,153120572,6
153.12107200,153121072,6,153121072,6
153.12157100,153121571,6,153121571,6
153.12207100,153122071,6,153122071,6
153.12258600,153122586,6,153122586,6
153.12307500,153123075,6,153123075,6
153.12357200,153123572,6,153123572,6
153.12408000,153124080,6,153124080,6
153.12457200,153124572,6,153124572,6
153.12508500,153125085,6,153125085,6
153.12557300,153125573,6,153125573,6
153.12607100,153126071,6,153126071,6
153.12657500,153126575,6,153126575,6
153.12707100,153127071,6,153127071,6
153.12758700,153127587,6,153127587,6
153.12807400,153128074,6,153128074,6
153.12857200,153128572,6,153128572,6
153.12907400,153129074,6,153129074,6
153.12957100,153129571,6,153129571,6
153.13008200,153130082,6,153130082,6
153.13057400,153130574,6,153130574,6
153.13107700,153131077,6,153131077,6
153.13157800,153131578,6,153131578,6
153.13207800,153132078,6,153132078,6
153.13258500,153132585,6,153132585,6
153.13308200,153133082,6,153133082,6
153.13357200,153133572,6,153133572,6
153.13407200,153134072,6,153134072,6
153.13457200,153134572,6,153134572,6
153.13509100,153135091,6,153135091,6
153.13557300,153135573,6,153135573,6
153.13607300,153136073,6,153136073,6
153.13657100,153136571,6,153136571,6
153.13707100,153137071,6,153137071,6
153.13758900,153137589,6,153137589,6
153.13807300,153138073,6,153138073,6
153.13857100,153138571,6,153138571,6
153.13907200,153139072,6,153139072,6
153.13957200,153139572,6,153139572,6
153.14008000,153140080,6,153140080,6
153.14057200,153140572,6,153140572,6
153.14107100,153141071,6,153141071,6
153.14157200,153141572,6,153141572,6
153.14207200,153142072,6,153142072,6
153.14257400,153142574,6,153142574,6
153.14307300,153143073,6,153143073,6
153.14357200,153143572,6,153143572,6
153.14407000,153144070,6,153144070,6
153.14457200,153144572,6,153144572,6
153.14508200,153145082,6,153145082,6
153.14557300,153145573,6,153145573,6
153.14607100,153146071,6,153146071,6
153.14657200,153146572,6,153146572,6
153.14707100,153147071,6,153147071,6
153.14758700,153147587,6,153147587,6
153.14807300,153148073,6,153148073,6
153.14857200,153148572,6,153148572,6
153.14907700,153149077,6,153149077,6
153.14957100,153149571,6,153149571,6
153.15008700,153150087,6,153150087,6
153.15057400,153150574,6,153150574,6
153.15107100,153151071,6,153151071,6
153.15157200,153151572,6,153151572,6
153.15207100,153152071,6,153152071,6
153.15258000,153152580,6,153152580,6
153.15307300,153153073,6,153153073,6
153.15357200,153153572,6,153153572,6
153.15407100,153154071,6,153154071,6
153.15457100,153154571,6,153154571,6
153.15508900,153155089,6,153155089,6
153.15557300,153155573,6,153155573,6
153.15607200,153156072,6,153156072,6
153.15657500,153156575,6,153156575,6
153.15707200,153157072,6,153157072,6
153.15759200,153157592,6,153157592,6
153.15807300,153158073,6,153158073,6
153.15857200,153158572,6,153158572,6
153.15907300,153159073,6,153159073,6
153.15957100,153159571,6,153159571,6
153.16008800,153160088,6,153160088,6
153.16057400,153160574,6,153160574,6
153.16107100,153161071,6,153161071,6
153.16158100,153161581,6,153161581,6
153.16207100,153162071,6,153162071,6
153.16258700,153162587,6,153162587,6
153.16307300,153163073,6,153163073,6
153.16357200,153163572,6,153163572,6
153.16407200,153164072,6,153164072,6
153.16457100,153164571,6,153164571,6
153.16508600,153165086,6,153165086,6
153.16557300,153165573,6,153165573,6
153.16607300,153166073,6,153166073,6
153.16657100,153166571,6,153166571,6
153.16707100,153167071,6,153167071,6
153.16757600,153167576,6,153167576,6
153.16807300,153168073,6,153168073,6
153.16857200,153168572,6,153168572,6
153.16907200,153169072,6,153169072,6
153.16957200,153169572,6,153169572,6
153.17008400,153170084,6,153170084,6
153.17057300,153170573,6,153170573,6
153.17107200,153171072,6,153171072,6
153.17157300,153171573,6,153171573,6
153.17207200,153172072,6,153172072,6
153.17258800,153172588,6,153172588,6
153.17307300,153173073,6,153173073,6
153.17357100,153173571,6,153173571,6
153.17407200,153174072,6,153174072,6
