timestamp,TimeUS,Ground_Truth,TimeUS,Ground_Truth
154.97833700,154978337,1,154978337,1
154.97933700,154979337,1,154979337,1
154.98034600,154980346,1,154980346,1
154.98134600,154981346,1,154981346,1
154.98234600,154982346,1,154982346,1
154.98333600,154983336,1,154983336,1
154.98434600,154984346,1,154984346,1
154.98533600,154985336,1,154985336,1
154.98633600,154986336,1,154986336,1
154.98733700,154987337,1,154987337,1
154.98833700,154988337,1,154988337,1
154.98934000,154989340,1,154989340,1
154.99033700,154990337,1,154990337,1
154.99133700,154991337,1,154991337,1
154.99233600,154992336,1,154992336,1
154.99333600,154993336,1,154993336,1
154.99433700,154994337,1,154994337,1
154.99533900,154995339,1,154995339,1
154.99633700,154996337,1,154996337,1
154.99733600,154997336,1,154997336,1
154.99834200,154998342,1,154998342,1
154.99934100,154999341,1,154999341,1
155.00033600,155000336,1,155000336,1
155.00133700,155001337,1,155001337,1
155.00233700,155002337,1,155002337,1
155.00334700,155003347,1,155003347,1
155.00433700,155004337,1,155004337,1
155.00533700,155005337,1,155005337,1
155.00633600,155006336,1,155006336,1
155.00733900,155007339,1,155007339,1
155.00833800,155008338,1,155008338,1
155.00933600,155009336,1,155009336,1
155.01033600,155010336,1,155010336,1
155.01133700,155011337,1,155011337,1
155.01233600,155012336,1,155012336,1
155.01333600,155013336,1,155013336,1
155.01433600,155014336,1,155014336,1
155.01533700,155015337,1,155015337,1
155.01633700,155016337,1,155016337,1
155.01733600,155017336,1,155017336,1
155.01833600,155018336,1,155018336,1
155.01933700,155019337,1,155019337,1
155.02034000,155020340,1,155020340,1
155.02133600,155021336,1,155021336,1
155.02233700,155022337,1,155022337,1
155.02333700,155023337,1,155023337,1
155.02433700,155024337,1,155024337,1
155.02533700,155025337,1,155025337,1
155.02633700,155026337,1,155026337,1
155.02733700,155027337,1,155027337,1
155.02833700,155028337,1,155028337,1
155.02933600,155029336,1,155029336,1
155.03033600,155030336,1,155030336,1
155.03133700,155031337,1,155031337,1
155.03233700,155032337,1,155032337,1
155.03333600,155033336,1,155033336,1
155.03434500,155034345,1,155034345,1
155.03533700,155035337,1,155035337,1
155.03633700,155036337,1,155036337,1
155.03734000,155037340,1,155037340,1
155.03833600,155038336,1,155038336,1
155.03933700,155039337,1,155039337,1
155.04033700,155040337,1,155040337,1
155.04143800,155041438,1,155041438,1
155.04234400,155042344,1,155042344,1
155.04334400,155043344,1,155043344,1
155.04433700,155044337,1,155044337,1
155.04533600,155045336,1,155045336,1
155.04633700,155046337,1,155046337,1
155.04733600,155047336,1,155047336,1
155.04833700,155048337,1,155048337,1
155.04933700,155049337,1,155049337,1
155.05033700,155050337,1,155050337,1
155.05133600,155051336,1,155051336,1
155.05233700,155052337,1,155052337,1
155.05333600,155053336,1,155053336,1
155.05433600,155054336,1,155054336,1
155.05533600,155055336,1,155055336,1
155.05634000,155056340,1,155056340,1
155.05733700,155057337,1,155057337,1
155.05833700,155058337,1,155058337,1
155.05933700,155059337,1,155059337,1
155.06033600,155060336,1,155060336,1
155.06133600,155061336,1,155061336,1
155.06233600,155062336,1,155062336,1
155.06334300,155063343,1,155063343,1
155.06434700,155064347,1,155064347,1
155.06533700,155065337,1,155065337,1
155.06633700,155066337,1,155066337,1
155.06733800,155067338,1,155067338,1
155.06833600,155068336,1,155068336,1
155.06934000,155069340,1,155069340,1
155.07033600,155070336,1,155070336,1
155.07133600,155071336,1,155071336,1
155.07233700,155072337,1,155072337,1
155.07333600,155073336,1,155073336,1
155.07433600,155074336,1,155074336,1
155.07533600,155075336,1,155075336,1
155.07633700,155076337,1,155076337,1
155.07734100,155077341,1,155077341,1
155.07833700,155078337,1,155078337,1
155.07933600,155079336,1,155079336,1
155.08033700,155080337,1,155080337,1
155.08133600,155081336,1,155081336,1
155.08234500,155082345,1,155082345,1
155.08333700,155083337,1,155083337,1
155.08434100,155084341,1,155084341,1
155.08534000,155085340,1,155085340,1
155.08634400,155086344,1,155086344,1
155.08734100,155087341,1,155087341,1
155.08833700,155088337,1,155088337,1
155.08933800,155089338,1,155089338,1
155.09034300,155090343,1,155090343,1
155.09134100,155091341,1,155091341,1
155.09233800,155092338,1,155092338,1
155.09334000,155093340,1,155093340,1
155.09433700,155094337,1,155094337,1
155.09533700,155095337,1,155095337,1
155.09633600,155096336,1,155096336,1
155.09733700,155097337,1,155097337,1
155.09833600,155098336,1,155098336,1
155.09933600,155099336,1,155099336,1
155.10033700,155100337,1,155100337,1
155.10134100,155101341,1,155101341,1
155.10233700,155102337,1,155102337,1
155.10334000,155103340,1,155103340,1
155.10433600,155104336,1,155104336,1
155.10533600,155105336,1,155105336,1
155.10633600,155106336,1,155106336,1
155.10733600,155107336,1,155107336,1
155.10833600,155108336,1,155108336,1
155.10933600,155109336,1,155109336,1
155.11033700,155110337,1,155110337,1
155.11133700,155111337,1,155111337,1
155.11234200,155112342,1,155112342,1
155.11333700,155113337,1,155113337,1
155.11433900,155114339,1,155114339,1
155.11533700,155115337,1,155115337,1
155.11634200,155116342,1,155116342,1
155.11733900,155117339,1,155117339,1
155.11833600,155118336,1,155118336,1
155.11933900,155119339,1,155119339,1
155.12033700,155120337,1,155120337,1
155.12133700,155121337,1,155121337,1
155.12233700,155122337,1,155122337,1
155.12333600,155123336,1,155123336,1
155.12433900,155124339,1,155124339,1
155.12533700,155125337,1,155125337,1
155.12633600,155126336,1,155126336,1
155.12733700,155127337,1,155127337,1
155.12833700,155128337,1,155128337,1
155.12933600,155129336,1,155129336,1
155.13033700,155130337,1,155130337,1
155.13133600,155131336,1,155131336,1
155.13233600,155132336,1,155132336,1
155.13334100,155133341,1,155133341,1
155.13434100,155134341,1,155134341,1
155.13533700,155135337,1,155135337,1
155.13633600,155136336,1,155136336,1
155.13733700,155137337,1,155137337,1
155.13833700,155138337,1,155138337,1
155.13934200,155139342,1,155139342,1
155.14034100,155140341,1,155140341,1
155.14133700,155141337,1,155141337,1
155.14234300,155142343,1,155142343,1
155.14333800,155143338,1,155143338,1
155.14433600,155144336,1,155144336,1
155.14533600,155145336,1,155145336,1
155.14634100,155146341,1,155146341,1
155.14733700,155147337,1,155147337,1
155.14833600,155148336,1,155148336,1
155.14933600,155149336,1,155149336,1
155.15033700,155150337,1,155150337,1
155.15133700,155151337,1,155151337,1
155.15233700,155152337,1,155152337,1
155.15333600,155153336,1,155153336,1
155.15433700,155154337,1,155154337,1
155.15533700,155155337,1,155155337,1
155.15634100,155156341,1,155156341,1
155.15733700,155157337,1,155157337,1
155.15833900,155158339,1,155158339,1
155.15933600,155159336,1,155159336,1
155.16033600,155160336,1,155160336,1
155.16133700,155161337,1,155161337,1
155.16233700,155162337,1,155162337,1
155.16333700,155163337,1,155163337,1
155.16433600,155164336,1,155164336,1
155.16534000,155165340,1,155165340,1
155.16633700,155166337,1,155166337,1
155.16733700,155167337,1,155167337,1
155.16833700,155168337,1,155168337,1
155.16933700,155169337,1,155169337,1
155.17033600,155170336,1,155170336,1
155.17134400,155171344,1,155171344,1
155.17233700,155172337,1,155172337,1
155.17334100,155173341,1,155173341,1
155.17433800,155174338,1,155174338,1
155.17533900,155175339,1,155175339,1
155.17633600,155176336,1,155176336,1
155.17733600,155177336,1,155177336,1
155.17833700,155178337,1,155178337,1
155.17934400,155179344,1,155179344,1
155.18033700,155180337,1,155180337,1
155.18133700,155181337,1,155181337,1
155.18233600,155182336,1,155182336,1
155.18333600,155183336,1,155183336,1
155.18434100,155184341,1,155184341,1
155.18533600,155185336,1,155185336,1
155.18633700,155186337,1,155186337,1
155.18733600,155187336,1,155187336,1
155.18833700,155188337,1,155188337,1
155.18933700,155189337,1,155189337,1
155.19033500,155190335,1,155190335,1
155.19133700,155191337,1,155191337,1
155.19234300,155192343,1,155192343,1
155.19333700,155193337,1,155193337,1
155.19434200,155194342,1,155194342,1
155.19533700,155195337,1,155195337,1
155.19633600,155196336,1,155196336,1
155.19733700,155197337,1,155197337,1
155.19833700,155198337,1,155198337,1
