timestamp,TimeUS,Ground_Truth,TimeUS,Ground_Truth
6.63830400,6638304,0,6638304,0
6.63930800,6639308,0,6639308,0
6.64030400,6640304,0,6640304,0
6.64130800,6641308,0,6641308,0
6.64230700,6642307,0,6642307,0
6.64330400,6643304,0,6643304,0
6.66630300,6666303,0,6666303,0
6.66730400,6667304,0,6667304,0
6.66830400,6668304,0,6668304,0
6.66931900,6669319,0,6669319,0
6.67030400,6670304,0,6670304,0
6.67130400,6671304,0,6671304,0
6.67230300,6672303,0,6672303,0
6.67330300,6673303,0,6673303,0
6.67430300,6674303,0,6674303,0
6.67530600,6675306,0,6675306,0
6.67631200,6676312,0,6676312,0
6.67730300,6677303,0,6677303,0
6.67830300,6678303,0,6678303,0
6.67930400,6679304,0,6679304,0
6.68030300,6680303,0,6680303,0
6.68130400,6681304,0,6681304,0
6.71831300,6718313,0,6718313,0
6.71930300,6719303,0,6719303,0
6.72030400,6720304,0,6720304,0
6.72130700,6721307,0,6721307,0
6.72230400,6722304,0,6722304,0
6.72330300,6723303,0,6723303,0
6.72430400,6724304,0,6724304,0
6.72530400,6725304,0,6725304,0
6.72630300,6726303,0,6726303,0
6.72730600,6727306,0,6727306,0
6.72830300,6728303,0,6728303,0
6.72932100,6729321,0,6729321,0
6.73031200,6730312,0,6730312,0
6.73130300,6731303,0,6731303,0
6.73230400,6732304,0,6732304,0
6.73330400,6733304,0,6733304,0
6.74830400,6748304,0,6748304,0
6.74932100,6749321,0,6749321,0
6.75030400,6750304,0,6750304,0
6.75130300,6751303,0,6751303,0
6.75230300,6752303,0,6752303,0
6.75330400,6753304,0,6753304,0
6.75430300,6754303,0,6754303,0
6.75530400,6755304,0,6755304,0
6.75630600,6756306,0,6756306,0
6.75730400,6757304,0,6757304,0
6.75830400,6758304,0,6758304,0
6.75930400,6759304,0,6759304,0
6.76030700,6760307,0,6760307,0
6.76130400,6761304,0,6761304,0
6.76230400,6762304,0,6762304,0
6.76330400,6763304,0,6763304,0
6.78130400,6781304,0,6781304,0
6.78230400,6782304,0,6782304,0
6.78330300,6783303,0,6783303,0
6.78430300,6784303,0,6784303,0
6.78530400,6785304,0,6785304,0
6.78630400,6786304,0,6786304,0
6.78730400,6787304,0,6787304,0
6.78830400,6788304,0,6788304,0
6.78932100,6789321,0,6789321,0
6.79030400,6790304,0,6790304,0
6.79130300,6791303,0,6791303,0
6.79230400,6792304,0,6792304,0
6.79330300,6793303,0,6793303,0
6.79430300,6794303,0,6794303,0
6.79530300,6795303,0,6795303,0
6.79630400,6796304,0,6796304,0
6.81130300,6811303,0,6811303,0
6.81230400,6812304,0,6812304,0
6.81330800,6813308,0,6813308,0
6.81431200,6814312,0,6814312,0
6.81530400,6815304,0,6815304,0
6.81630400,6816304,0,6816304,0
6.81730300,6817303,0,6817303,0
6.81830500,6818305,0,6818305,0
6.81930300,6819303,0,6819303,0
6.82030400,6820304,0,6820304,0
6.82130400,6821304,0,6821304,0
6.82230300,6822303,0,6822303,0
6.82330300,6823303,0,6823303,0
6.82430300,6824303,0,6824303,0
6.82530400,6825304,0,6825304,0
6.82630300,6826303,0,6826303,0
6.84330700,6843307,0,6843307,0
6.84430700,6844307,0,6844307,0
6.84530700,6845307,0,6845307,0
6.84630600,6846306,0,6846306,0
6.84730600,6847306,0,6847306,0
6.84830500,6848305,0,6848305,0
6.84932400,6849324,0,6849324,0
6.85030400,6850304,0,6850304,0
6.85130300,6851303,0,6851303,0
6.85230300,6852303,0,6852303,0
6.85330300,6853303,0,6853303,0
6.85430300,6854303,0,6854303,0
6.85530800,6855308,0,6855308,0
6.85630400,6856304,0,6856304,0
6.85730900,6857309,0,6857309,0
6.85830400,6858304,0,6858304,0
6.87630400,6876304,0,6876304,0
6.87730400,6877304,0,6877304,0
6.87830400,6878304,0,6878304,0
6.87930700,6879307,0,6879307,0
6.88030400,6880304,0,6880304,0
6.88130400,6881304,0,6881304,0
6.88230400,6882304,0,6882304,0
6.88330400,6883304,0,6883304,0
6.88430400,6884304,0,6884304,0
6.88530300,6885303,0,6885303,0
6.88630400,6886304,0,6886304,0
6.88730400,6887304,0,6887304,0
6.88830700,6888307,0,6888307,0
6.88932100,6889321,0,6889321,0
6.89030400,6890304,0,6890304,0
6.89130300,6891303,0,6891303,0
6.90932200,6909322,0,6909322,0
6.91030300,6910303,0,6910303,0
6.91130400,6911304,0,6911304,0
6.91230400,6912304,0,6912304,0
6.91331500,6913315,0,6913315,0
6.91430300,6914303,0,6914303,0
6.91530300,6915303,0,6915303,0
6.91630300,6916303,0,6916303,0
6.91730400,6917304,0,6917304,0
6.91830400,6918304,0,6918304,0
6.91930300,6919303,0,6919303,0
6.92030400,6920304,0,6920304,0
6.92130300,6921303,0,6921303,0
6.92230400,6922304,0,6922304,0
6.92330300,6923303,0,6923303,0
6.92430300,6924303,0,6924303,0
6.93830400,6938304,0,6938304,0
6.93930400,6939304,0,6939304,0
6.94030400,6940304,0,6940304,0
6.94130400,6941304,0,6941304,0
6.94230400,6942304,0,6942304,0
6.94330300,6943303,0,6943303,0
6.94430300,6944303,0,6944303,0
6.94530400,6945304,0,6945304,0
6.94630400,6946304,0,6946304,0
6.94730400,6947304,0,6947304,0
6.94830400,6948304,0,6948304,0
6.94932300,6949323,0,6949323,0
6.95030400,6950304,0,6950304,0
6.95133300,6951333,0,6951333,0
6.95230400,6952304,0,6952304,0
6.95330300,6953303,0,6953303,0
6.97530400,6975304,0,6975304,0
6.97630600,6976306,0,6976306,0
6.97730300,6977303,0,6977303,0
6.97830300,6978303,0,6978303,0
6.97930400,6979304,0,6979304,0
6.98030400,6980304,0,6980304,0
6.98130400,6981304,0,6981304,0
6.98230300,6982303,0,6982303,0
6.98330300,6983303,0,6983303,0
6.98430400,6984304,0,6984304,0
6.98530400,6985304,0,6985304,0
6.98630400,6986304,0,6986304,0
6.98730400,6987304,0,6987304,0
6.98830400,6988304,0,6988304,0
6.98931900,6989319,0,6989319,0
6.99030400,6990304,0,6990304,0
6.99130300,6991303,0,6991303,0
7.00630400,7006304,0,7006304,0
7.00730400,7007304,0,7007304,0
7.00830300,7008303,0,7008303,0
7.00932000,7009320,0,7009320,0
7.01030400,7010304,0,7010304,0
7.01130300,7011303,0,7011303,0
7.01230400,7012304,0,7012304,0
7.01330400,7013304,0,7013304,0
7.01430400,7014304,0,7014304,0
7.01530400,7015304,0,7015304,0
7.01630400,7016304,0,7016304,0
7.01731200,7017312,0,7017312,0
7.01830400,7018304,0,7018304,0
7.01930300,7019303,0,7019303,0
7.02030400,7020304,0,7020304,0
7.02130400,7021304,0,7021304,0
7.03830400,7038304,0,7038304,0
7.03930400,7039304,0,7039304,0
7.04030400,7040304,0,7040304,0
7.04130400,7041304,0,7041304,0
7.04230400,7042304,0,7042304,0
7.04330300,7043303,0,7043303,0
7.04430300,7044303,0,7044303,0
7.04530400,7045304,0,7045304,0
7.04630800,7046308,0,7046308,0
7.04730300,7047303,0,7047303,0
7.04830300,7048303,0,7048303,0
7.04931900,7049319,0,7049319,0
7.05030400,7050304,0,7050304,0
7.05130400,7051304,0,7051304,0
7.05230300,7052303,0,7052303,0
7.05330400,7053304,0,7053304,0
7.08630400,7086304,0,7086304,0
7.08730300,7087303,0,7087303,0
7.08830300,7088303,0,7088303,0
7.08932300,7089323,0,7089323,0
7.09030400,7090304,0,7090304,0
7.09130400,7091304,0,7091304,0
7.09230300,7092303,0,7092303,0
7.09330300,7093303,0,7093303,0
7.09430400,7094304,0,7094304,0
7.09530300,7095303,0,7095303,0
7.09630300,7096303,0,7096303,0
7.09730400,7097304,0,7097304,0
7.09830400,7098304,0,7098304,0
7.09930300,7099303,0,7099303,0
7.10030400,7100304,0,7100304,0
7.10130300,7101303,0,7101303,0
7.11830400,7118304,0,7118304,0
7.11930400,7119304,0,7119304,0
7.12030400,7120304,0,7120304,0
