timestamp,TimeUS,Ground_Truth
124.57755900,124577559,2
124.57805700,124578057,2
124.57858000,124578580,2
124.57908000,124579080,2
124.57957900,124579579,2
124.58008100,124580081,2
124.58057900,124580579,2
124.58108000,124581080,2
124.58158000,124581580,2
124.58208000,124582080,2
124.58258000,124582580,2
124.58308100,124583081,2
124.58377400,124583774,2
124.58424100,124584241,2
124.58476500,124584765,2
124.58523300,124585233,2
124.58573800,124585738,2
124.58623600,124586236,2
124.58673400,124586734,2
124.58723300,124587233,2
124.58782000,124587820,2
124.58826600,124588266,2
124.58879000,124588790,2
124.58929200,124589292,2
124.58979200,124589792,2
124.59029000,124590290,2
124.59079100,124590791,2
124.59129100,124591291,2
124.59179100,124591791,2
124.59229100,124592291,2
124.59281600,124592816,2
124.59329100,124593291,2
124.59381600,124593816,2
124.59431700,124594317,2
124.59481500,124594815,2
124.59531600,124595316,2
124.59581600,124595816,2
124.59631600,124596316,2
124.59681600,124596816,2
124.59731500,124597315,2
124.59781800,124597818,2
124.59831600,124598316,2
124.59884300,124598843,2
124.59934800,124599348,2
124.59984400,124599844,2
124.60034200,124600342,2
124.60084400,124600844,2
124.60134200,124601342,2
124.60184300,124601843,2
124.60234400,124602344,2
124.60284500,124602845,2
124.60334400,124603344,2
124.60387200,124603872,2
124.60437400,124604374,2
124.60487200,124604872,2
124.60537200,124605372,2
124.60587400,124605874,2
124.60637200,124606372,2
124.60688000,124606880,2
124.60737200,124607372,2
124.60787800,124607878,2
124.60837300,124608373,2
124.60890100,124608901,2
124.60940300,124609403,2
124.60990100,124609901,2
124.61040100,124610401,2
124.61090100,124610901,2
124.61140000,124611400,2
124.61190000,124611900,2
124.61240200,124612402,2
124.61290300,124612903,2
124.61340100,124613401,2
124.61390000,124613900,2
124.61443300,124614433,2
124.61493500,124614935,2
124.61542700,124615427,2
124.61592700,124615927,2
124.61642700,124616427,2
124.61692700,124616927,2
124.61742700,124617427,2
124.61792800,124617928,2
124.61842700,124618427,2
124.61892600,124618926,2
124.61945500,124619455,2
124.61996000,124619960,2
124.62045200,124620452,2
124.62095900,124620959,2
124.62146200,124621462,2
124.62195300,124621953,2
124.62245200,124622452,2
124.62295700,124622957,2
124.62345900,124623459,2
124.62395200,124623952,2
124.62448000,124624480,2
124.62498500,124624985,2
124.62547800,124625478,2
124.62598600,124625986,2
124.62647900,124626479,2
124.62698900,124626989,2
124.62747900,124627479,2
124.62798000,124627980,2
124.62847900,124628479,2
124.62897800,124628978,2
124.62950700,124629507,2
124.63000700,124630007,2
124.63050500,124630505,2
124.63100600,124631006,2
124.63150500,124631505,2
124.63200800,124632008,2
124.63250600,124632506,2
124.63301100,124633011,2
124.63350600,124633506,2
124.63401200,124634012,2
124.63453800,124634538,2
124.63503700,124635037,2
124.63553600,124635536,2
124.63603700,124636037,2
124.63653600,124636536,2
124.63703700,124637037,2
124.63753600,124637536,2
124.63803800,124638038,2
124.63853900,124638539,2
124.63903700,124639037,2
124.63956600,124639566,2
124.64006400,124640064,2
124.64056500,124640565,2
124.64106500,124641065,2
124.64156400,124641564,2
124.64207200,124642072,2
124.64256500,124642565,2
124.64307300,124643073,2
124.64356500,124643565,2
124.64406500,124644065,2
124.64459100,124644591,2
124.64509100,124645091,2
124.64559000,124645590,2
124.64608900,124646089,2
124.64658900,124646589,2
124.64708900,124647089,2
124.64758900,124647589,2
124.64818100,124648181,2
124.64859000,124648590,2
124.64908900,124649089,2
124.64974000,124649740,2
124.65023800,124650238,2
124.65076000,124650760,2
124.65123500,124651235,2
124.65173400,124651734,2
124.65223300,124652233,2
124.65276300,124652763,2
124.65323900,124653239,2
124.65373700,124653737,2
124.65426000,124654260,2
124.65478800,124654788,2
124.65528600,124655286,2
124.65578700,124655787,2
124.65628700,124656287,2
124.65678700,124656787,2
124.65728800,124657288,2
124.65779100,124657791,2
124.65828800,124658288,2
124.65878800,124658788,2
124.65929400,124659294,2
124.65982000,124659820,2
124.66032100,124660321,2
124.66081900,124660819,2
124.66131800,124661318,2
124.66181800,124661818,2
124.66231900,124662319,2
124.66282600,124662826,2
124.66331900,124663319,2
124.66381900,124663819,2
124.66431800,124664318,2
124.66484500,124664845,2
124.66534400,124665344,2
124.66584400,124665844,2
124.66634400,124666344,2
124.66684500,124666845,2
124.66735000,124667350,2
124.66784600,124667846,2
124.66834500,124668345,2
124.66884400,124668844,2
124.66934400,124669344,2
124.66986800,124669868,2
124.67036600,124670366,2
124.67086600,124670866,2
124.67136600,124671366,2
124.67186700,124671867,2
124.67236700,124672367,2
124.67286800,124672868,2
124.67337500,124673375,2
124.67386900,124673869,2
124.67436800,124674368,2
124.67489500,124674895,2
124.67539700,124675397,2
124.67589800,124675898,2
124.67639600,124676396,2
124.67689600,124676896,2
124.67739600,124677396,2
124.67789700,124677897,2
124.67839700,124678397,2
124.67889500,124678895,2
124.67939700,124679397,2
124.67992100,124679921,2
124.68043400,124680434,2
124.68092100,124680921,2
124.68142100,124681421,2
124.68192100,124681921,2
124.68242100,124682421,2
124.68292300,124682923,2
124.68342100,124683421,2
124.68392100,124683921,2
124.68442100,124684421,2
124.68495800,124684958,2
124.68545300,124685453,2
124.68594900,124685949,2
124.68645200,124686452,2
124.68695100,124686951,2
124.68744900,124687449,2
124.68795100,124687951,2
124.68845300,124688453,2
124.68894800,124688948,2
