timestamp,TimeUS,DesRoll,Roll,DesPitch,Pitch,DesYaw,Yaw,ErrRP,ErrYaw,AEKF
149.84772000,149847720,0.0,0.16,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.85022700,149850227,0.0,0.16,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.85268600,149852686,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.85584900,149855849,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.85770800,149857708,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.86021000,149860210,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.86271500,149862715,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.86518700,149865187,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.86821600,149868216,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.87021900,149870219,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.87270200,149872702,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.87531900,149875319,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.87771700,149877717,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.88065600,149880656,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.88272500,149882725,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.88518500,149885185,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.88771200,149887712,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.89022800,149890228,0.0,0.17,0.0,-1.1,199.44,199.45000000000002,0.01,0.01,3
149.89362000,149893620,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.89524300,149895243,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.89768200,149897682,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.90020900,149900209,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.90272100,149902721,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.90598800,149905988,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.90771000,149907710,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.91022500,149910225,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.91275400,149912754,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.91524000,149915240,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.91810000,149918100,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.92020100,149920201,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.92274200,149922742,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.92517700,149925177,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.92774600,149927746,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.93062200,149930622,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.93273500,149932735,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.93530800,149935308,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.93771600,149937716,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.94022600,149940226,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.94316000,149943160,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
149.94517700,149945177,0.0,0.17,0.0,-1.11,199.44,199.45000000000002,0.01,0.01,3
