timestamp,TimeUS,Ground_Truth
timestamp,TimeUS,Ground_Truth,TimeUS,Ground_Truth
149.92437100,149924371,1,149924371,1
149.92484200,149924842,1,149924842,1
149.92539200,149925392,1,149925392,1
149.92591300,149925913,1,149925913,1
149.92643200,149926432,1,149926432,1
149.92695900,149926959,1,149926959,1
149.92728500,149927285,1,149927285,1
149.92779200,149927792,1,149927792,1
149.92828900,149928289,1,149928289,1
149.92878800,149928788,1,149928788,1
149.92928700,149929287,1,149929287,1
149.92978600,149929786,1,149929786,1
149.93031300,149930313,1,149930313,1
149.93082400,149930824,1,149930824,1
149.93134900,149931349,1,149931349,1
149.93187200,149931872,1,149931872,1
149.93245600,149932456,1,149932456,1
149.93296100,149932961,1,149932961,1
149.93345000,149933450,1,149933450,1
149.93378700,149933787,1,149933787,1
149.93429800,149934298,1,149934298,1
149.93478800,149934788,1,149934788,1
149.93529500,149935295,1,149935295,1
149.93579000,149935790,1,149935790,1
149.93628700,149936287,1,149936287,1
149.93679000,149936790,1,149936790,1
149.93728600,149937286,1,149937286,1
149.93782800,149937828,1,149937828,1
149.93833800,149938338,1,149938338,1
149.93885900,149938859,1,149938859,1
149.93938300,149939383,1,149939383,1
149.93998000,149939980,1,149939980,1
149.94044100,149940441,1,149940441,1
149.94096700,149940967,1,149940967,1
149.94128800,149941288,1,149941288,1
149.94179000,149941790,1,149941790,1
149.94228600,149942286,1,149942286,1
149.94279400,149942794,1,149942794,1
149.94329300,149943293,1,149943293,1
149.94378800,149943788,1,149943788,1
149.94429700,149944297,1,149944297,1
149.94478900,149944789,1,149944789,1
149.94537400,149945374,1,149945374,1
149.94586300,149945863,1,149945863,1
149.94636900,149946369,1,149946369,1
149.94689900,149946899,1,149946899,1
149.94748300,149947483,1,149947483,1
149.94795200,149947952,1,149947952,1
149.94847100,149948471,1,149948471,1
149.94878400,149948784,1,149948784,1
149.94929000,149949290,1,149949290,1
149.94978600,149949786,1,149949786,1
149.95029400,149950294,1,149950294,1
149.95078900,149950789,1,149950789,1
149.95128500,149951285,1,149951285,1
149.95178600,149951786,1,149951786,1
149.95228700,149952287,1,149952287,1
149.95282700,149952827,1,149952827,1
149.95333800,149953338,1,149953338,1
149.95386200,149953862,1,149953862,1
149.95439500,149954395,1,149954395,1
149.95499000,149954990,1,149954990,1
149.95549700,149955497,1,149955497,1
149.95598100,149955981,1,149955981,1
149.95629300,149956293,1,149956293,1
149.95678600,149956786,1,149956786,1
149.95728800,149957288,1,149957288,1
149.95779300,149957793,1,149957793,1
149.95829000,149958290,1,149958290,1
149.95878900,149958789,1,149958789,1
149.95929000,149959290,1,149959290,1
149.95979700,149959797,1,149959797,1
149.96033700,149960337,1,149960337,1
149.96085400,149960854,1,149960854,1
149.96137100,149961371,1,149961371,1
149.96189600,149961896,1,149961896,1
149.96248000,149962480,1,149962480,1
149.96296000,149962960,1,149962960,1
149.96328900,149963289,1,149963289,1
149.96378700,149963787,1,149963787,1
149.96430000,149964300,1,149964300,1
149.96478700,149964787,1,149964787,1
149.96529600,149965296,1,149965296,1
149.96578800,149965788,1,149965788,1
149.96628500,149966285,1,149966285,1
149.96679000,149966790,1,149966790,1
149.96728600,149967286,1,149967286,1
149.96782900,149967829,1,149967829,1
149.96835100,149968351,1,149968351,1
149.96887100,149968871,1,149968871,1
149.96939700,149969397,1,149969397,1
149.96997600,149969976,1,149969976,1
149.97045900,149970459,1,149970459,1
149.97097200,149970972,1,149970972,1
149.97128600,149971286,1,149971286,1
149.97178800,149971788,1,149971788,1
149.97228800,149972288,1,149972288,1
149.97279300,149972793,1,149972793,1
149.97328800,149973288,1,149973288,1
149.97378600,149973786,1,149973786,1
149.97429900,149974299,1,149974299,1
149.97478600,149974786,1,149974786,1
149.97533000,149975330,1,149975330,1
149.97584700,149975847,1,149975847,1
149.97636600,149976366,1,149976366,1
149.97689400,149976894,1,149976894,1
149.97748100,149977481,1,149977481,1
149.97794900,149977949,1,149977949,1
149.97846800,149978468,1,149978468,1
149.97878600,149978786,1,149978786,1
149.97928900,149979289,1,149979289,1
149.97978600,149979786,1,149979786,1
149.98029400,149980294,1,149980294,1
149.98079200,149980792,1,149980792,1
149.98128800,149981288,1,149981288,1
149.98178700,149981787,1,149981787,1
149.98229500,149982295,1,149982295,1
149.98283000,149982830,1,149982830,1
149.98335300,149983353,1,149983353,1
149.98387000,149983870,1,149983870,1
149.98440900,149984409,1,149984409,1
149.98498000,149984980,1,149984980,1
149.98545600,149985456,1,149985456,1
149.98579200,149985792,1,149985792,1
149.98628600,149986286,1,149986286,1
149.98678800,149986788,1,149986788,1
149.98728800,149987288,1,149987288,1
149.98779300,149987793,1,149987793,1
149.98829200,149988292,1,149988292,1
149.98878800,149988788,1,149988788,1
149.98929200,149989292,1,149989292,1
149.98985900,149989859,1,149989859,1
149.99036400,149990364,1,149990364,1
149.99087700,149990877,1,149990877,1
149.99141100,149991411,1,149991411,1
149.99192500,149991925,1,149991925,1
149.99248500,149992485,1,149992485,1
149.99279200,149992792,1,149992792,1
149.99329700,149993297,1,149993297,1
149.99378700,149993787,1,149993787,1
149.99430300,149994303,1,149994303,1
149.99478700,149994787,1,149994787,1
149.99529800,149995298,1,149995298,1
149.99578600,149995786,1,149995786,1
149.99628800,149996288,1,149996288,1
149.99679700,149996797,1,149996797,1
149.99732500,149997325,1,149997325,1
149.99786600,149997866,1,149997866,1
149.99838500,149998385,1,149998385,1
149.99890400,149998904,1,149998904,1
149.99948300,149999483,1,149999483,1
149.99998900,149999989,1,149999989,1
150.00029200,150000292,1,150000292,1
150.00078800,150000788,1,150000788,1
150.00128600,150001286,1,150001286,1
150.00178800,150001788,1,150001788,1
150.00228600,150002286,1,150002286,1
150.00279200,150002792,1,150002792,1
150.00330800,150003308,1,150003308,1
150.00382900,150003829,1,150003829,1
150.00435800,150004358,1,150004358,1
150.00494800,150004948,1,150004948,1
150.00542800,150005428,1,150005428,1
150.00594600,150005946,1,150005946,1
150.00646600,150006466,1,150006466,1
