timestamp,TimeUS,Message
1683644346.08752608,2272424,Frame: QUAD/PLUS
1683644346.09002519,2274923,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683644346.27245212,2457350,SRC=250/250:AT-0016.1: Reboot complete
1683644346.27495122,2459849,SRC=250/250:AT-0016.1: set_parameters: ({})
1683644346.37990904,2564807,RC7: SaveWaypoint LOW
1683644346.38490701,2569805,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1683644346.47237206,2657270,SRC=250/250:AT-0016.3: Waiting for a heartbeat with mavlink pr
1683644346.84472299,3029621,SRC=250/250:AT-0016.7: Waiting for mode STABILIZE
1683644347.84182405,4026722,SRC=250/250:AT-0017.7: Setting up RC parameters
1683644348.06923318,4254131,SRC=250/250:AT-0017.9: Waiting for mode STABILIZE
1683644348.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683644348.08422709,4269125,EKF3 IMU1 initialised
1683644348.08672619,4271624,SRC=250/250:AT-0017.9: AP: EKF3 IMU1 initialised
1683644348.09422302,4279121,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683644348.84225702,5027155,Frame: QUAD/PLUS
1683644348.84725499,5032153,Frame: QUAD/PLUS
1683644348.84975410,5034652,Frame: QUAD/PLUS
1683644348.85725117,5042149,SRC=250/250:AT-0018.7: Doing timesync roundtrip
1683644348.87974215,5064640,SRC=250/250:AT-0018.7: Received TIMESYNC response after 0.0000
1683644349.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683644349.43701911,5621917,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 tilt alignment complete
1683644349.46700716,5651905,SRC=250/250:AT-0019.3: RC values good
1683644349.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683644349.53697920,5721877,SRC=250/250:AT-0019.4: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683644349.84435606,6029254,SRC=250/250:AT-0019.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683644350.84478903,7029687,SRC=250/250:AT-0020.7: Doing timesync roundtrip
1683644350.87477708,7059675,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1683644351.07719612,7262094,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1683644351.08219409,7267092,SRC=250/250:AT-0020.9: Handling request for item 1/1
