timestamp,TimeUS,Message
1683643431.08502722,2269925,Frame: QUAD/PLUS
1683643431.08752608,2272424,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683643431.26745415,2452352,SRC=250/250:AT-0016.0: set_parameters: ({})
1683643431.37990904,2564807,RC7: SaveWaypoint LOW
1683643431.38490701,2569805,SRC=250/250:AT-0016.1: AP: RC7: SaveWaypoint LOW
1683643431.46487498,2649773,SRC=250/250:AT-0016.2: Waiting for a heartbeat with mavlink pr
1683643431.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1683643432.84182405,4026722,SRC=250/250:AT-0017.6: Setting up RC parameters
1683643433.06423521,4249133,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1683643433.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683643433.08172798,4266626,SRC=250/250:AT-0017.8: AP: RC7: SaveWaypoint MIDDLE
1683643433.08422709,4269125,EKF3 IMU1 initialised
1683643433.08672619,4271624,SRC=250/250:AT-0017.8: AP: EKF3 IMU1 initialised
1683643433.09422302,4279121,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683643433.83975816,5024656,Frame: QUAD/PLUS
1683643433.84475613,5029654,Frame: QUAD/PLUS
1683643433.85225320,5037151,Frame: QUAD/PLUS
1683643433.85725117,5042149,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1683643433.87474418,5059642,SRC=250/250:AT-0018.6: Received TIMESYNC response after 0.0000
1683643434.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683643434.43452001,5619418,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1683643434.46950603,5654404,SRC=250/250:AT-0019.2: RC values good
1683643434.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683643434.53448009,5719378,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683643434.84185719,6026755,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683643435.83979106,7024689,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1683643435.87477708,7059675,SRC=250/250:AT-0020.6: Received TIMESYNC response after 0.0000
1683643436.07219815,7257096,SRC=250/250:AT-0020.8: Item (MISSION_ITEM_INT {target_system :
1683643436.07719612,7262094,SRC=250/250:AT-0020.8: Handling request for item 1/1
1683643436.07969499,7264593,Frame: QUAD/PLUS
1683643436.08469319,7269591,SRC=250/250:AT-0020.8: AP: Flight plan received
1683643436.27211809,7457016,SRC=250/250:AT-0021.0: Requesting item 0 (remaining=2)
1683643436.27711606,7462014,SRC=250/250:AT-0021.0: Requesting item 1 (remaining=1)
1683643436.28211403,7467012,SRC=250/250:AT-0021.0: Type is 0
1683643436.84438920,8029287,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683643437.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1683643437.22173810,8406636,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1683643437.83982420,9024722,SRC=250/250:AT-0022.6: Waiting for ready to arm
1683643437.86981201,9054710,SRC=250/250:AT-0022.6: Sending param_request_read for (AHRS_EK
1683643438.14970016,9334598,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1683643438.26715302,9452051,SRC=250/250:AT-0023.0: Wait EKF.flags: required:831 current:16
1683643447.42932010,18614218,EKF3 IMU1 origin set
1683643447.43681717,18621715,SRC=250/250:AT-0032.2: AP: EKF3 IMU1 origin set
1683643447.47930002,18664198,Field Elevation Set: 584m
1683643447.48679709,18671695,SRC=250/250:AT-0032.2: AP: Field Elevation Set: 584m
1683643448.27481508,19459713,SRC=250/250:AT-0033.0: Wait EKF.flags: required:831 current:16
1683643459.07965803,30264556,PreArm: Need Position Estimate
1683643459.08465600,30269554,SRC=250/250:AT-0043.9: AP: PreArm: Need Position Estimate
1683643459.47699904,30661897,SRC=250/250:AT-0044.2: Wait EKF.flags: required:831 current:16
1683643470.22436500,41409263,EKF3 IMU1 is using GPS
1683643470.22686410,41411762,SRC=250/250:AT-0055.0: AP: EKF3 IMU1 is using GPS
1683643470.27684402,41461742,SRC=250/250:AT-0055.0: Waiting for GPS health
1683643470.46926713,41654165,SRC=250/250:AT-0055.2: GPS healthy
1683643471.06985998,42254758,SRC=250/250:AT-0055.8: Sending COMMAND_LONG to (1,1) (MAV_CMD_
