timestamp,TimeUS,Message
1683641093.08752608,2272424,Frame: QUAD/PLUS
1683641093.09002519,2274923,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683641093.27245212,2457350,SRC=250/250:AT-0016.1: set_parameters: ({})
1683641093.37990904,2564807,RC7: SaveWaypoint LOW
1683641093.38490701,2569805,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1683641093.46987319,2654771,SRC=250/250:AT-0016.3: Waiting for a heartbeat with mavlink pr
1683641093.84222412,3027122,SRC=250/250:AT-0016.6: Waiting for initial mode STABILIZE
1683641093.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1683641094.84182405,4026722,SRC=250/250:AT-0017.6: Setting up RC parameters
1683641095.06423521,4249133,SRC=250/250:AT-0017.9: Waiting for mode STABILIZE
1683641095.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683641095.08422709,4269125,SRC=250/250:AT-0017.9: AP: RC7: SaveWaypoint MIDDLE
1683641095.08672619,4271624,AHRS: EKF3 active
1683641095.08922505,4274123,SRC=250/250:AT-0017.9: AP: EKF3 IMU0 initialised
1683641095.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683641095.84225702,5027155,Frame: QUAD/PLUS
1683641095.84725499,5032153,Frame: QUAD/PLUS
1683641095.85475206,5039650,Frame: QUAD/PLUS
1683641095.85975003,5044648,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1683641095.87224507,5057143,SRC=250/250:AT-0018.7: Received TIMESYNC response after 0.0000
1683641096.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683641096.43452001,5619418,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1683641096.46450806,5649406,SRC=250/250:AT-0019.3: RC values good
1683641096.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683641096.53697920,5721877,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683641096.84185719,6026755,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683641097.83979106,7024689,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1683641097.87227821,7057176,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1683641098.07469702,7259595,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1683641098.07969499,7264593,SRC=250/250:AT-0020.9: Handling request for item 1/1
1683641098.08219409,7267092,Frame: QUAD/PLUS
1683641098.08469319,7269591,SRC=250/250:AT-0020.9: AP: Flight plan received
1683641098.27211809,7457016,SRC=250/250:AT-0021.1: Requesting item 0 (remaining=2)
1683641098.27961516,7464513,SRC=250/250:AT-0021.1: Requesting item 1 (remaining=1)
1683641098.28711200,7472010,SRC=250/250:AT-0021.1: Type is 0
1683641098.83939099,8024289,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683641099.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1683641099.22673607,8411634,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1683641099.84482217,9029720,SRC=250/250:AT-0022.6: Waiting for ready to arm
1683641099.86731315,9052211,SRC=250/250:AT-0022.7: Sending param_request_read for (AHRS_EK
1683641100.15219903,9337097,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1683641100.27465010,9459548,SRC=250/250:AT-0023.1: Wait EKF.flags: required:831 current:16
1683641109.42932010,18614218,EKF3 IMU1 origin set
1683641109.43431807,18619216,SRC=250/250:AT-0032.2: AP: EKF3 IMU1 origin set
1683641109.47930002,18664198,Field Elevation Set: 584m
1683641109.48679709,18671695,SRC=250/250:AT-0032.3: AP: Field Elevation Set: 584m
1683641110.26981711,19454715,SRC=250/250:AT-0033.1: Wait EKF.flags: required:831 current:16
1683641121.07965803,30264556,PreArm: Need Position Estimate
1683641121.08965421,30274552,SRC=250/250:AT-0043.9: AP: PreArm: Need Position Estimate
1683641121.47450018,30659398,SRC=250/250:AT-0044.3: Wait EKF.flags: required:831 current:16
1683641132.22436500,41409263,EKF3 IMU1 is using GPS
1683641132.22686410,41411762,SRC=250/250:AT-0055.0: AP: EKF3 IMU1 is using GPS
1683641132.27684402,41461742,SRC=250/250:AT-0055.1: Waiting for GPS health
1683641132.46676803,41651666,SRC=250/250:AT-0055.3: GPS healthy
1683641133.06985998,42254758,SRC=250/250:AT-0055.9: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683641133.07985616,42264754,SRC=250/250:AT-0055.9: Doing timesync roundtrip
1683641133.27727699,42462175,SRC=250/250:AT-0056.1: Received TIMESYNC response after 0.0000
1683641133.66462207,42849520,SRC=250/250:AT-0056.5: Arm motors with MAVLink cmd
1683641133.86954021,43054438,Arming motors
1683641133.87453818,43059436,SRC=250/250:AT-0056.7: AP: Arming motors
1683641134.84248400,44027382,SRC=250/250:AT-0057.6: Motors ARMED
1683641134.86747408,44052372,SRC=250/250:AT-0057.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683641134.87497115,44059869,SRC=250/250:AT-0057.7: ACK received: COMMAND_ACK {command : 22
1683641135.06989312,44254791,SRC=250/250:AT-0057.9: Waiting for Altitude=49.00 with accurac
1683641135.27481103,44459709,SRC=250/250:AT-0058.1: Altitude=0.00 (want 49.000000 +- 3.0000
1683641137.47226501,46657163,SRC=250/250:AT-0060.3: Altitude=0.05 (want 49.000000 +- 3.0000
1683641138.67178512,47856683,SRC=250/250:AT-0061.5: Altitude=1.23 (want 49.000000 +- 3.0000
1683641139.52727604,48712174,EKF3 IMU1 MAG0 in-flight yaw alignment complete
1683641139.52977514,48714673,SRC=250/250:AT-0062.3: AP: EKF3 IMU1 MAG0 in-flight yaw alignm
1683641139.67721605,48862114,SRC=250/250:AT-0062.5: Altitude=3.27 (want 49.000000 +- 3.0000
1683641140.86923909,50054137,SRC=250/250:AT-0063.7: Altitude=6.33 (want 49.000000 +- 3.0000
1683641141.87467003,51059568,SRC=250/250:AT-0064.7: Altitude=8.83 (want 49.000000 +- 3.0000
1683641143.07502317,52259921,SRC=250/250:AT-0065.9: Altitude=11.81 (want 49.000000 +- 3.000
1683641144.07962108,53264519,SRC=250/250:AT-0066.9: Altitude=14.31 (want 49.000000 +- 3.000
1683641145.27247715,54457375,SRC=250/250:AT-0068.1: Altitude=17.30 (want 49.000000 +- 3.000
1683641146.47199702,55656895,SRC=250/250:AT-0069.3: Altitude=20.30 (want 49.000000 +- 3.000
1683641147.47492909,56659827,SRC=250/250:AT-0070.3: Altitude=22.80 (want 49.000000 +- 3.000
1683641148.67195010,57856848,SRC=250/250:AT-0071.5: Altitude=25.79 (want 49.000000 +- 3.000
1683641149.67488217,58859780,SRC=250/250:AT-0072.5: Altitude=28.29 (want 49.000000 +- 3.000
1683641150.87440205,60059300,SRC=250/250:AT-0073.7: Altitude=31.29 (want 49.000000 +- 3.000
1683641151.87233615,61057234,SRC=250/250:AT-0074.7: Altitude=33.77 (want 49.000000 +- 3.000
1683641153.07185602,62256754,SRC=250/250:AT-0075.9: Altitude=36.78 (want 49.000000 +- 3.000
1683641154.07728720,63262185,SRC=250/250:AT-0076.9: Altitude=39.28 (want 49.000000 +- 3.000
1683641155.27430820,64459206,SRC=250/250:AT-0078.1: Altitude=42.27 (want 49.000000 +- 3.000
1683641156.27224207,65457140,SRC=250/250:AT-0079.1: Altitude=44.74 (want 49.000000 +- 3.000
1683641157.47176218,66656660,SRC=250/250:AT-0080.3: Altitude=47.26 (want 49.000000 +- 3.000
1683641158.47719312,67662091,SRC=250/250:AT-0081.3: Altitude=48.74 (want 49.000000 +- 3.000
1683641158.87203503,68056933,SRC=250/250:AT-0081.7: Attained Altitude=49.178
1683641159.84497905,69029877,SRC=250/250:AT-0082.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683641159.84747815,69032376,Mission: 1 WP
1683641159.85247612,69037374,SRC=250/250:AT-0082.7: AP: Mission: 1 WP
1683641160.84457898,70029477,SRC=250/250:AT-0083.6: Got mode AUTO
1683641161.06948900,70254387,SRC=250/250:AT-0083.9: wait for waypoint ranges start=1 end=1
1683641161.46433115,70649229,SRC=250/250:AT-0084.3: WP 1 (wp_dist=823 Alt=634.27), current_
1683641162.66718316,71852081,SRC=250/250:AT-0085.5: WP 1 (wp_dist=821 Alt=634.31), current_
1683641163.86670303,73051601,SRC=250/250:AT-0086.7: WP 1 (wp_dist=816 Alt=634.32), current_
1683641165.06705618,74251954,SRC=250/250:AT-0087.9: WP 1 (wp_dist=808 Alt=634.33), current_
1683641166.26490998,75449808,SRC=250/250:AT-0089.1: WP 1 (wp_dist=798 Alt=634.32), current_
1683641167.46443009,76649328,SRC=250/250:AT-0090.3: WP 1 (wp_dist=786 Alt=634.32), current_
1683641168.66978121,77854679,SRC=250/250:AT-0091.5: WP 1 (wp_dist=775 Alt=634.33), current_
1683641169.86680222,79051700,SRC=250/250:AT-0092.7: WP 1 (wp_dist=763 Alt=634.34), current_
1683641171.06965399,80254552,SRC=250/250:AT-0093.9: WP 1 (wp_dist=751 Alt=634.35), current_
1683641172.26750803,81452406,SRC=250/250:AT-0095.1: WP 1 (wp_dist=739 Alt=634.35), current_
1683641173.46702814,82651926,SRC=250/250:AT-0096.3: WP 1 (wp_dist=727 Alt=634.35), current_
1683641174.66488218,83849780,SRC=250/250:AT-0097.5: WP 1 (wp_dist=715 Alt=634.34), current_
1683641175.86440206,85049300,SRC=250/250:AT-0098.7: WP 1 (wp_dist=703 Alt=634.34), current_
1683641177.06475520,86249653,SRC=250/250:AT-0099.9: WP 1 (wp_dist=691 Alt=634.33), current_
1683641178.26427507,87449173,SRC=250/250:AT-0101.1: WP 1 (wp_dist=679 Alt=634.33), current_
1683641179.46462798,88649526,SRC=250/250:AT-0102.3: WP 1 (wp_dist=667 Alt=634.32), current_
