timestamp,TimeUS,Message
1683539489.08752608,2272424,Frame: QUAD/PLUS
1683539489.09002519,2274923,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683539489.27245212,2457350,SRC=250/250:AT-0016.1: set_parameters: ({})
1683539489.37990904,2564807,RC7: SaveWaypoint LOW
1683539489.38740611,2572304,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1683539489.47487116,2659769,SRC=250/250:AT-0016.3: SITL is running
1683539489.47737002,2662268,SRC=250/250:AT-0016.3: Waiting for a heartbeat with mavlink pr
1683539489.84472299,3029621,SRC=250/250:AT-0016.7: Waiting for mode STABILIZE
1683539490.84432316,4029221,SRC=250/250:AT-0017.7: Setting up RC parameters
1683539491.06423521,4249133,SRC=250/250:AT-0017.9: Waiting for mode STABILIZE
1683539491.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683539491.08422709,4269125,SRC=250/250:AT-0017.9: AP: RC7: SaveWaypoint MIDDLE
1683539491.08672619,4271624,AHRS: EKF3 active
1683539491.08922505,4274123,SRC=250/250:AT-0017.9: AP: EKF3 IMU0 initialised
1683539491.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683539491.84225702,5027155,Frame: QUAD/PLUS
1683539491.84975410,5034652,Frame: QUAD/PLUS
1683539491.85725117,5042149,Frame: QUAD/PLUS
1683539491.86474800,5049646,SRC=250/250:AT-0018.7: Doing timesync roundtrip
1683539492.07216501,5257063,SRC=250/250:AT-0018.9: Received TIMESYNC response after 0.0000
1683539492.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683539492.43701911,5621917,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 tilt alignment complete
1683539492.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683539492.53448009,5719378,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683539492.66442800,5849326,SRC=250/250:AT-0019.5: RC values good
1683539492.84435606,6029254,SRC=250/250:AT-0019.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683539493.84478903,7029687,SRC=250/250:AT-0020.7: Doing timesync roundtrip
1683539493.87477708,7059675,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1683539494.07219815,7257096,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1683539494.07969499,7264593,Frame: QUAD/PLUS
1683539494.08469319,7269591,SRC=250/250:AT-0020.9: AP: Flight plan received
1683539494.27461720,7459515,SRC=250/250:AT-0021.1: Requesting item 0 (remaining=2)
1683539494.28211403,7467012,SRC=250/250:AT-0021.1: Requesting item 1 (remaining=1)
1683539494.28961110,7474509,SRC=250/250:AT-0021.1: Type is 0
1683539494.84189010,8026788,SRC=250/250:AT-0021.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683539495.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1683539495.22673607,8411634,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1683539495.83982420,9024722,SRC=250/250:AT-0022.7: Waiting for ready to arm
1683539495.87231112,9057209,SRC=250/250:AT-0022.7: Sending param_request_read for (AHRS_EK
1683539496.14970016,9334598,SRC=250/250:AT-0023.0: Waiting for EKF value 831
1683539496.27465010,9459548,SRC=250/250:AT-0023.1: Wait EKF.flags: required:831 current:16
1683539505.42932010,18614218,EKF3 IMU1 origin set
1683539505.43431807,18619216,SRC=250/250:AT-0032.3: AP: EKF3 IMU1 origin set
1683539505.47930002,18664198,Field Elevation Set: 584m
1683539505.48679709,18671695,SRC=250/250:AT-0032.3: AP: Field Elevation Set: 584m
1683539506.27231622,19457214,SRC=250/250:AT-0033.1: Wait EKF.flags: required:831 current:16
1683539517.07965803,30264556,PreArm: Need Position Estimate
1683539517.08965421,30274552,SRC=250/250:AT-0043.9: AP: PreArm: Need Position Estimate
1683539517.47200108,30656899,SRC=250/250:AT-0044.3: Wait EKF.flags: required:831 current:16
1683539528.22436500,41409263,EKF3 IMU1 is using GPS
1683539528.22686410,41411762,SRC=250/250:AT-0055.1: AP: EKF3 IMU1 is using GPS
1683539528.27184606,41456744,SRC=250/250:AT-0055.1: Waiting for GPS health
1683539528.46926713,41654165,SRC=250/250:AT-0055.3: GPS healthy
1683539529.07235909,42257257,SRC=250/250:AT-0055.9: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683539529.07485819,42259756,SRC=250/250:AT-0055.9: Doing timesync roundtrip
1683539529.27477813,42459676,SRC=250/250:AT-0056.1: Received TIMESYNC response after 0.0000
1683539529.66712117,42852019,SRC=250/250:AT-0056.5: Arm motors with MAVLink cmd
1683539529.86954021,43054438,Arming motors
1683539529.87453818,43059436,SRC=250/250:AT-0056.7: AP: Arming motors
1683539530.84498310,44029881,SRC=250/250:AT-0057.7: Motors ARMED
1683539530.87247205,44057370,SRC=250/250:AT-0057.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683539530.87497115,44059869,SRC=250/250:AT-0057.7: ACK received: COMMAND_ACK {command : 22
1683539531.06989312,44254791,SRC=250/250:AT-0057.9: Waiting for Altitude=49.00 with accurac
1683539531.27481103,44459709,SRC=250/250:AT-0058.1: Altitude=0.00 (want 49.000000 +- 3.0000
1683539533.47226501,46657163,SRC=250/250:AT-0060.3: Altitude=0.05 (want 49.000000 +- 3.0000
1683539534.67928219,47864180,SRC=250/250:AT-0061.5: Altitude=1.23 (want 49.000000 +- 3.0000
1683539535.52727604,48712174,EKF3 IMU1 MAG0 in-flight yaw alignment complete
1683539535.53227401,48717172,SRC=250/250:AT-0062.4: AP: EKF3 IMU1 MAG0 in-flight yaw alignm
1683539535.67221808,48857116,SRC=250/250:AT-0062.5: Altitude=3.27 (want 49.000000 +- 3.0000
1683539536.87673616,50061634,SRC=250/250:AT-0063.7: Altitude=6.34 (want 49.000000 +- 3.0000
1683539537.87467003,51059568,SRC=250/250:AT-0064.7: Altitude=8.82 (want 49.000000 +- 3.0000
1683539539.07502317,52259921,SRC=250/250:AT-0065.9: Altitude=11.81 (want 49.000000 +- 3.000
1683539540.07462311,53259521,SRC=250/250:AT-0066.9: Altitude=14.30 (want 49.000000 +- 3.000
1683539541.27497602,54459874,SRC=250/250:AT-0068.1: Altitude=17.30 (want 49.000000 +- 3.000
