timestamp,TimeUS,Message
1683538269.08502722,2269925,Frame: QUAD/PLUS
1683538269.08752608,2272424,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683538269.26745415,2452352,SRC=250/250:AT-0016.0: set_parameters: ({})
1683538269.37990904,2564807,RC7: SaveWaypoint LOW
1683538269.38240814,2567306,SRC=250/250:AT-0016.1: AP: RC7: SaveWaypoint LOW
1683538269.46487498,2649773,SRC=250/250:AT-0016.2: Waiting for a heartbeat with mavlink pr
1683538269.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1683538270.84182405,4026722,SRC=250/250:AT-0017.6: Setting up RC parameters
1683538271.06923318,4254131,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1683538271.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683538271.08422709,4269125,EKF3 IMU1 initialised
1683538271.08672619,4271624,SRC=250/250:AT-0017.8: AP: EKF3 IMU1 initialised
1683538271.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683538271.84475613,5029654,Frame: QUAD/PLUS
1683538271.84975410,5034652,Frame: QUAD/PLUS
1683538271.85725117,5042149,Frame: QUAD/PLUS
1683538271.86224914,5047147,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1683538271.87474418,5059642,SRC=250/250:AT-0018.6: Received TIMESYNC response after 0.0000
1683538272.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683538272.43951821,5624416,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1683538272.46950603,5654404,SRC=250/250:AT-0019.2: RC values good
1683538272.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683538272.53198099,5716879,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683538272.84185719,6026755,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683538273.84478903,7029687,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1683538273.87477708,7059675,SRC=250/250:AT-0020.6: Received TIMESYNC response after 0.0000
1683538274.07219815,7257096,SRC=250/250:AT-0020.8: Item (MISSION_ITEM_INT {target_system :
1683538274.07719612,7262094,Frame: QUAD/PLUS
1683538274.08469319,7269591,SRC=250/250:AT-0020.8: AP: Flight plan received
1683538274.27211809,7457016,SRC=250/250:AT-0021.0: Requesting item 0 (remaining=2)
1683538274.27711606,7462014,SRC=250/250:AT-0021.0: Requesting item 1 (remaining=1)
1683538274.28461313,7469511,SRC=250/250:AT-0021.0: Type is 0
1683538274.84438920,8029287,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683538275.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1683538275.22173810,8406636,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1683538275.84232306,9027221,SRC=250/250:AT-0022.6: Waiting for ready to arm
1683538275.86731315,9052211,SRC=250/250:AT-0022.6: Sending param_request_read for (AHRS_EK
1683538276.15219903,9337097,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1683538276.26965213,9454550,SRC=250/250:AT-0023.0: Wait EKF.flags: required:831 current:16
1683538285.42932010,18614218,EKF3 IMU1 origin set
1683538285.43431807,18619216,SRC=250/250:AT-0032.2: AP: EKF3 IMU1 origin set
1683538285.47930002,18664198,Field Elevation Set: 584m
1683538285.48429799,18669196,SRC=250/250:AT-0032.2: AP: Field Elevation Set: 584m
1683538286.27481508,19459713,SRC=250/250:AT-0033.0: Wait EKF.flags: required:831 current:16
1683538297.07965803,30264556,PreArm: Need Position Estimate
1683538297.08965421,30274552,SRC=250/250:AT-0043.9: AP: PreArm: Need Position Estimate
1683538297.47200108,30656899,SRC=250/250:AT-0044.2: Wait EKF.flags: required:831 current:16
1683538308.22436500,41409263,EKF3 IMU1 is using GPS
1683538308.22686410,41411762,SRC=250/250:AT-0055.0: AP: EKF3 IMU1 is using GPS
1683538308.27684402,41461742,SRC=250/250:AT-0055.0: Waiting for GPS health
1683538308.46676803,41651666,SRC=250/250:AT-0055.2: GPS healthy
1683538309.06985998,42254758,SRC=250/250:AT-0055.8: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683538309.07985616,42264754,SRC=250/250:AT-0055.8: Doing timesync roundtrip
1683538309.27477813,42459676,SRC=250/250:AT-0056.0: Received TIMESYNC response after 0.0000
1683538309.66462207,42849520,SRC=250/250:AT-0056.4: Arm motors with MAVLink cmd
1683538309.86954021,43054438,Arming motors
1683538309.87453818,43059436,SRC=250/250:AT-0056.6: AP: Arming motors
