timestamp,TimeUS,Message
1683544860.08502722,2269925,Frame: QUAD/PLUS
1683544860.08752608,2272424,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683544860.26995301,2454851,SRC=250/250:AT-0016.1: Reboot complete
1683544860.27245212,2457350,SRC=250/250:AT-0016.1: set_parameters: ({})
1683544860.37990904,2564807,RC7: SaveWaypoint LOW
1683544860.38490701,2569805,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1683544860.47237206,2657270,SRC=250/250:AT-0016.3: Waiting for a heartbeat with mavlink pr
1683544860.84472299,3029621,SRC=250/250:AT-0016.7: Waiting for mode STABILIZE
1683544861.83932519,4024223,SRC=250/250:AT-0017.7: Setting up RC parameters
1683544862.06673408,4251632,SRC=250/250:AT-0017.9: Waiting for mode STABILIZE
1683544862.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683544862.08422709,4269125,SRC=250/250:AT-0017.9: AP: RC7: SaveWaypoint MIDDLE
1683544862.08672619,4271624,AHRS: EKF3 active
1683544862.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683544862.84225702,5027155,Frame: QUAD/PLUS
1683544862.84725499,5032153,Frame: QUAD/PLUS
1683544862.84975410,5034652,SRC=250/250:AT-0018.7: AP: Fence Indexed OK
1683544862.85225320,5037151,Frame: QUAD/PLUS
1683544862.85975003,5044648,SRC=250/250:AT-0018.7: Doing timesync roundtrip
1683544862.87224507,5057143,SRC=250/250:AT-0018.7: Received TIMESYNC response after 0.0000
1683544863.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683544863.43452001,5619418,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 tilt alignment complete
1683544863.46450806,5649406,SRC=250/250:AT-0019.3: RC values good
1683544863.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683544863.53198099,5716879,SRC=250/250:AT-0019.4: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683544863.84185719,6026755,SRC=250/250:AT-0019.7: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683544864.84229016,7027188,SRC=250/250:AT-0020.7: Doing timesync roundtrip
1683544864.87227821,7057176,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1683544865.07469702,7259595,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1683544865.07969499,7264593,SRC=250/250:AT-0020.9: Handling request for item 1/1
1683544865.08219409,7267092,Frame: QUAD/PLUS
1683544865.08469319,7269591,SRC=250/250:AT-0020.9: AP: Flight plan received
