timestamp,TimeUS,Message
1683553152.08502722,2269925,Frame: QUAD/PLUS
1683553152.08752608,2272424,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1683553152.26995301,2454851,SRC=250/250:AT-0016.0: Reboot complete
1683553152.27245212,2457350,SRC=250/250:AT-0016.0: set_parameters: ({})
1683553152.37990904,2564807,RC7: SaveWaypoint LOW
1683553152.38490701,2569805,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1683553152.47237206,2657270,SRC=250/250:AT-0016.2: Waiting for a heartbeat with mavlink pr
1683553152.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1683553153.83932519,4024223,SRC=250/250:AT-0017.6: Setting up RC parameters
1683553154.06923318,4254131,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1683553154.07922912,4264127,RC7: SaveWaypoint MIDDLE
1683553154.08422709,4269125,EKF3 IMU1 initialised
1683553154.08672619,4271624,SRC=250/250:AT-0017.9: AP: EKF3 IMU1 initialised
1683553154.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1683553154.83975816,5024656,Frame: QUAD/PLUS
1683553154.84725499,5032153,Frame: QUAD/PLUS
1683553154.84975410,5034652,SRC=250/250:AT-0018.6: AP: Fence Indexed OK
1683553154.85225320,5037151,Frame: QUAD/PLUS
1683553154.85475206,5039650,SRC=250/250:AT-0018.6: AP: Flight plan received
1683553154.85725117,5042149,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1683553154.87474418,5059642,SRC=250/250:AT-0018.6: Received TIMESYNC response after 0.0000
1683553155.43202114,5616919,EKF3 IMU1 tilt alignment complete
1683553155.43452001,5619418,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1683553155.46450806,5649406,SRC=250/250:AT-0019.2: RC values good
1683553155.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1683553155.53448009,5719378,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1683553155.83935809,6024256,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683553156.83979106,7024689,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1683553156.87727618,7062174,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1683553157.07719612,7262094,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1683553157.08219409,7267092,SRC=250/250:AT-0020.9: Handling request for item 1/1
1683553157.08469319,7269591,Frame: QUAD/PLUS
1683553157.09219003,7277088,SRC=250/250:AT-0020.9: AP: Flight plan received
1683553157.27211809,7457016,SRC=250/250:AT-0021.1: Requesting item 0 (remaining=2)
1683553157.27961516,7464513,SRC=250/250:AT-0021.1: Requesting item 1 (remaining=1)
1683553157.28711200,7472010,SRC=250/250:AT-0021.1: Type is 0
1683553157.84189010,8026788,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1683553158.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1683553158.22423720,8409135,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1683553158.83982420,9024722,SRC=250/250:AT-0022.6: Waiting for ready to arm
1683553158.87231112,9057209,SRC=250/250:AT-0022.7: Sending param_request_read for (AHRS_EK
1683553159.15469813,9339596,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1683553159.27465010,9459548,SRC=250/250:AT-0023.1: Wait EKF.flags: required:831 current:16
1683553168.42932010,18614218,EKF3 IMU1 origin set
