timestamp,TimeUS,Message
1701788261.09002519,2274923,Frame: QUAD/PLUS
1701788261.09252405,2277422,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1701788261.26995301,2454851,SRC=250/250:AT-0016.0: Reboot complete
1701788261.27245212,2457350,SRC=250/250:AT-0016.0: set_parameters: ({})
1701788261.37990904,2564807,RC7: SaveWaypoint LOW
1701788261.38490701,2569805,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1701788261.47237206,2657270,SRC=250/250:AT-0016.2: Waiting for a heartbeat with mavlink pr
1701788261.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1701788262.83932519,4024223,SRC=250/250:AT-0017.6: Setting up RC parameters
1701788263.06673408,4251632,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1701788263.07922912,4264127,RC7: SaveWaypoint MIDDLE
1701788263.08422709,4269125,EKF3 IMU1 initialised
1701788263.08672619,4271624,SRC=250/250:AT-0017.9: AP: RC7: SaveWaypoint MIDDLE
1701788263.08922505,4274123,SRC=250/250:AT-0017.9: AP: EKF3 IMU0 initialised
1701788263.09172416,4276622,SRC=250/250:AT-0017.9: AP: EKF3 IMU1 initialised
1701788263.09422302,4279121,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1701788263.83975816,5024656,Frame: QUAD/PLUS
1701788263.84475613,5029654,Frame: QUAD/PLUS
1701788263.84725499,5032153,Frame: QUAD/PLUS
1701788263.85475206,5039650,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1701788263.87724304,5062141,SRC=250/250:AT-0018.7: Received TIMESYNC response after 0.0000
1701788264.43202114,5616919,EKF3 IMU1 tilt alignment complete
1701788264.43452001,5619418,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1701788264.46450806,5649406,SRC=250/250:AT-0019.2: RC values good
1701788264.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1701788264.53448009,5719378,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1701788264.84185719,6026755,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701788265.84229016,7027188,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1701788265.87227821,7057176,SRC=250/250:AT-0020.6: Received TIMESYNC response after 0.0000
1701788266.07719612,7262094,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1701788266.08219409,7267092,SRC=250/250:AT-0020.9: Handling request for item 1/1
1701788266.08469319,7269591,Frame: QUAD/PLUS
1701788266.08719206,7272090,SRC=250/250:AT-0020.9: All sent
1701788266.08969116,7274589,SRC=250/250:AT-0020.9: Upload of all 2 items succeeded
1701788266.09219003,7277088,SRC=250/250:AT-0020.9: AP: Flight plan received
1701788266.27461720,7459515,SRC=250/250:AT-0021.0: Requesting item 0 (remaining=2)
1701788266.28211403,7467012,SRC=250/250:AT-0021.1: Requesting item 1 (remaining=1)
1701788266.28961110,7474509,SRC=250/250:AT-0021.1: Type is 0
1701788266.83939099,8024289,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701788267.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1701788267.22423720,8409135,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1701788267.83982420,9024722,SRC=250/250:AT-0022.6: Waiting for ready to arm
1701788267.87231112,9057209,SRC=250/250:AT-0022.6: Sending param_request_read for (AHRS_EK
1701788268.15219903,9337097,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1701788268.26965213,9454550,SRC=250/250:AT-0023.0: Wait EKF.flags: required:831 current:16
1701788277.42932010,18614218,EKF3 IMU1 origin set
1701788277.43181920,18616717,SRC=250/250:AT-0032.2: AP: EKF3 IMU1 origin set
1701788277.47930002,18664198,Field Elevation Set: 584m
1701788277.48429799,18669196,SRC=250/250:AT-0032.3: AP: Field Elevation Set: 584m
1701788278.26981711,19454715,SRC=250/250:AT-0033.0: Wait EKF.flags: required:831 current:16
