timestamp,TimeUS,Message
1701854621.08502722,2269925,Frame: QUAD/PLUS
1701854621.08752608,2272424,SRC=250/250:AT-0015.9: AP: AHRS: DCM active
1701854621.27495122,2459849,SRC=250/250:AT-0016.1: set_parameters: ({})
1701854621.37990904,2564807,RC7: SaveWaypoint LOW
1701854621.38240814,2567306,SRC=250/250:AT-0016.2: AP: RC7: SaveWaypoint LOW
1701854621.47737002,2662268,SRC=250/250:AT-0016.3: Waiting for a heartbeat with mavlink pr
1701854621.84222412,3027122,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1701854622.84182405,4026722,SRC=250/250:AT-0017.6: Setting up RC parameters
1701854623.06923318,4254131,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1701854623.07922912,4264127,RC7: SaveWaypoint MIDDLE
1701854623.08422709,4269125,EKF3 IMU1 initialised
1701854623.08672619,4271624,SRC=250/250:AT-0017.9: AP: EKF3 IMU1 initialised
1701854623.09422302,4279121,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1701854623.83975816,5024656,Frame: QUAD/PLUS
1701854623.84475613,5029654,Frame: QUAD/PLUS
1701854623.84725499,5032153,Frame: QUAD/PLUS
1701854623.85475206,5039650,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1701854623.87724304,5062141,SRC=250/250:AT-0018.7: Received TIMESYNC response after 0.0000
1701854624.43202114,5616919,EKF3 IMU1 tilt alignment complete
1701854624.43951821,5624416,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1701854624.46700716,5651905,SRC=250/250:AT-0019.2: RC values good
1701854624.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1701854624.53198099,5716879,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1701854624.83935809,6024256,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701854625.84478903,7029687,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1701854625.87477708,7059675,SRC=250/250:AT-0020.7: Received TIMESYNC response after 0.0000
1701854626.07969499,7264593,SRC=250/250:AT-0020.9: Item (MISSION_ITEM_INT {target_system :
1701854626.08719206,7272090,Frame: QUAD/PLUS
1701854626.09219003,7277088,SRC=250/250:AT-0020.9: Upload of all 2 items succeeded
1701854626.09468913,7279587,SRC=250/250:AT-0020.9: AP: Flight plan received
1701854626.27711606,7462014,SRC=250/250:AT-0021.1: Requesting item 0 (remaining=2)
