timestamp,TimeUS,Message
1701853873.08502722,2269925,Frame: QUAD/PLUS
1701853873.08752608,2272424,SRC=250/250:AT-0015.8: AP: AHRS: DCM active
1701853873.26745415,2452352,SRC=250/250:AT-0016.0: set_parameters: ({})
1701853873.37990904,2564807,RC7: SaveWaypoint LOW
1701853873.38240814,2567306,SRC=250/250:AT-0016.1: AP: RC7: SaveWaypoint LOW
1701853873.46487498,2649773,SRC=250/250:AT-0016.2: Waiting for a heartbeat with mavlink pr
1701853873.84472299,3029621,SRC=250/250:AT-0016.6: Waiting for mode STABILIZE
1701853874.84182405,4026722,SRC=250/250:AT-0017.6: Setting up RC parameters
1701853875.06923318,4254131,SRC=250/250:AT-0017.8: Waiting for mode STABILIZE
1701853875.07922912,4264127,RC7: SaveWaypoint MIDDLE
1701853875.08422709,4269125,EKF3 IMU1 initialised
1701853875.08672619,4271624,SRC=250/250:AT-0017.8: AP: RC7: SaveWaypoint MIDDLE
1701853875.09172416,4276622,SRC=250/250:AT-0017.9: AP: AHRS: EKF3 active
1701853875.84475613,5029654,Frame: QUAD/PLUS
1701853875.84975410,5034652,Frame: QUAD/PLUS
1701853875.85475206,5039650,Frame: QUAD/PLUS
1701853875.86224914,5047147,SRC=250/250:AT-0018.6: Doing timesync roundtrip
1701853875.87224507,5057143,SRC=250/250:AT-0018.6: Received TIMESYNC response after 0.0000
1701853876.43202114,5616919,EKF3 IMU1 tilt alignment complete
1701853876.43951821,5624416,SRC=250/250:AT-0019.2: AP: EKF3 IMU1 tilt alignment complete
1701853876.46700716,5651905,SRC=250/250:AT-0019.2: RC values good
1701853876.52948213,5714380,EKF3 IMU1 MAG0 initial yaw alignment complete
1701853876.53198099,5716879,SRC=250/250:AT-0019.3: AP: EKF3 IMU1 MAG0 initial yaw alignmen
1701853876.84185719,6026755,SRC=250/250:AT-0019.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701853877.84478903,7029687,SRC=250/250:AT-0020.6: Doing timesync roundtrip
1701853877.87227821,7057176,SRC=250/250:AT-0020.6: Received TIMESYNC response after 0.0000
1701853878.07219815,7257096,SRC=250/250:AT-0020.8: Item (MISSION_ITEM_INT {target_system :
1701853878.07719612,7262094,Frame: QUAD/PLUS
1701853878.08219409,7267092,SRC=250/250:AT-0020.8: AP: Flight plan received
1701853878.26961899,7454517,SRC=250/250:AT-0021.0: Requesting item 0 (remaining=2)
1701853878.27711606,7462014,SRC=250/250:AT-0021.0: Requesting item 1 (remaining=1)
1701853878.28211403,7467012,SRC=250/250:AT-0021.0: Type is 0
1701853878.84189010,8026788,SRC=250/250:AT-0021.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701853879.21923900,8404137,GPS 1: detected as u-blox at 230400 baud
1701853879.22673607,8411634,SRC=250/250:AT-0022.0: AP: GPS 1: detected as u-blox at 230400
1701853879.84482217,9029720,SRC=250/250:AT-0022.6: Waiting for ready to arm
1701853879.86981201,9054710,SRC=250/250:AT-0022.6: Sending param_request_read for (AHRS_EK
1701853880.15469813,9339596,SRC=250/250:AT-0022.9: Waiting for EKF value 831
1701853880.26465416,9449552,SRC=250/250:AT-0023.0: Wait EKF.flags: required:831 current:16
1701853889.42932010,18614218,EKF3 IMU1 origin set
1701853889.43181920,18616717,SRC=250/250:AT-0032.2: AP: EKF3 IMU1 origin set
1701853889.47930002,18664198,Field Elevation Set: 584m
1701853889.48429799,18669196,SRC=250/250:AT-0032.2: AP: Field Elevation Set: 584m
1701853890.26481915,19449717,SRC=250/250:AT-0033.0: Wait EKF.flags: required:831 current:16
1701853901.07965803,30264556,PreArm: Need Position Estimate
1701853901.08715510,30272053,SRC=250/250:AT-0043.8: AP: PreArm: Need Position Estimate
1701853901.46700311,30651901,SRC=250/250:AT-0044.2: Wait EKF.flags: required:831 current:16
1701853912.22436500,41409263,EKF3 IMU1 is using GPS
1701853912.23186207,41416760,SRC=250/250:AT-0055.0: AP: EKF3 IMU1 is using GPS
1701853912.26684809,41451746,SRC=250/250:AT-0055.0: Waiting for GPS health
1701853912.46426916,41649167,SRC=250/250:AT-0055.2: GPS healthy
1701853913.06486201,42249760,SRC=250/250:AT-0055.8: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701853913.06985998,42254758,SRC=250/250:AT-0055.8: Doing timesync roundtrip
1701853913.27477813,42459676,SRC=250/250:AT-0056.0: Received TIMESYNC response after 0.0000
1701853913.66462207,42849520,SRC=250/250:AT-0056.4: Arm motors with MAVLink cmd
1701853913.86954021,43054438,Arming motors
1701853913.87453818,43059436,SRC=250/250:AT-0056.6: AP: Arming motors
1701853914.84248400,44027382,SRC=250/250:AT-0057.6: Motors ARMED
1701853914.86747408,44052372,SRC=250/250:AT-0057.6: Sending COMMAND_LONG to (1,1) (MAV_CMD_
1701853914.87247205,44057370,SRC=250/250:AT-0057.6: ACK received: COMMAND_ACK {command : 22
1701853915.06489515,44249793,SRC=250/250:AT-0057.8: Waiting for Altitude=49.00 with accurac
1701853915.27481103,44459709,SRC=250/250:AT-0058.0: Altitude=0.00 (want 49.000000 +- 3.0000
1701853917.47226501,46657163,SRC=250/250:AT-0060.2: Altitude=0.05 (want 49.000000 +- 3.0000
1701853918.67428398,47859182,SRC=250/250:AT-0061.4: Altitude=1.23 (want 49.000000 +- 3.0000
1701853919.52727604,48712174,EKF3 IMU1 MAG0 in-flight yaw alignment complete
1701853919.53227401,48717172,SRC=250/250:AT-0062.3: AP: EKF3 IMU1 MAG0 in-flight yaw alignm
1701853919.67221808,48857116,SRC=250/250:AT-0062.4: Altitude=3.26 (want 49.000000 +- 3.0000
1701853920.87173820,50056636,SRC=250/250:AT-0063.6: Altitude=6.33 (want 49.000000 +- 3.0000
1701853921.87716913,51062067,SRC=250/250:AT-0064.6: Altitude=8.82 (want 49.000000 +- 3.0000
1701853923.07502317,52259921,SRC=250/250:AT-0065.8: Altitude=11.81 (want 49.000000 +- 3.000
